country,Year,GDP.per.capita.PPP.current.international,polity2
Ecuador,2009,8267.730235,5
Ecuador,2010,NA,NA
"Egypt, Arab Rep.",2000,3538.677794,-6
"Egypt, Arab Rep.",2001,3676.40013,-6
"Egypt, Arab Rep.",2002,3752.509767,-6
"Egypt, Arab Rep.",2003,3881.146599,-6
"Egypt, Arab Rep.",2004,4076.457611,-6
"Egypt, Arab Rep.",2005,4318.851195,-3
"Egypt, Arab Rep.",2006,4676.760474,-3
"Egypt, Arab Rep.",2007,5085.496719,-3
"Egypt, Arab Rep.",2008,5468.385108,-3
"Egypt, Arab Rep.",2009,5672.551616,-3
"Egypt, Arab Rep.",2010,NA,NA
Equatorial Guinea,2000,7571.500652,-5
Equatorial Guinea,2001,12174.27318,-5
Equatorial Guinea,2002,14363.11169,-5
Equatorial Guinea,2003,16257.86483,-5
Equatorial Guinea,2004,22443.70535,-5
Equatorial Guinea,2005,24769.87762,-5
Equatorial Guinea,2006,25210.84067,-5
Equatorial Guinea,2007,30836.65097,-5
Equatorial Guinea,2008,34165.96374,-5
Equatorial Guinea,2009,31779.13353,-5
Equatorial Guinea,2010,NA,NA
Eritrea,2000,608.4356829,-6
Eritrea,2001,651.7036385,-7
Eritrea,2002,654.4355855,-7
Eritrea,2003,623.8406076,-7
Eritrea,2004,624.8188787,-7
Eritrea,2005,637.6124543,-7
Eritrea,2006,629.7499939,-7
Eritrea,2007,639.2257667,-7
Eritrea,2008,571.7617765,-7
Eritrea,2009,580.5191831,-7
Eritrea,2010,NA,NA
Estonia,2000,9880.434334,9
Estonia,2001,10715.78756,9
Estonia,2002,11989.21473,9
Estonia,2003,13394.62332,9
Estonia,2004,14781.40892,9
Estonia,2005,16547.92372,9
Estonia,2006,18920.11957,9
Estonia,2007,21003.71789,9
Estonia,2008,21760.68694,9
Estonia,2009,19693.47236,9
Estonia,2010,NA,NA
Ethiopia,2000,467.8424196,1
Ethiopia,2001,504.6284094,1
Ethiopia,2002,507.1284988,1
Ethiopia,2003,493.834026,1
Ethiopia,2004,561.9660481,1
Ethiopia,2005,632.6861478,1
Ethiopia,2006,705.4592851,1
Ethiopia,2007,792.3489887,1
Ethiopia,2008,873.9654434,1
Ethiopia,2009,934.4031927,1
Ethiopia,2010,NA,NA
Timor-Leste,2000,774.304165,NA
Timor-Leste,2001,677.476593,NA
Timor-Leste,2002,678.9961265,6
Timor-Leste,2003,663.0841345,6
Timor-Leste,2004,677.942195,6
Timor-Leste,2005,713.4847066,6
Timor-Leste,2006,669.065617,7
Timor-Leste,2007,721.0717977,7
Timor-Leste,2008,807.8507822,7
Timor-Leste,2009,804.9362979,7
Timor-Leste,2010,NA,NA
Fiji,2000,3487.686803,5
